date,min,max,median,q1,q3,stdev,count
2020-09-17T00:00:00.000Z,4.7,24.77,10.07,7.43,12.23,3.425,150
2020-09-18T00:00:00.000Z,1.37,7.6,2.61,2.22,5.6,1.882,322
2020-09-19T00:00:00.000Z,1.1,17.17,2.45,2,3.17,1.727,316
2020-09-20T00:00:00.000Z,1.77,81.75,3.06,2.7,4.55,6.693,238
2020-09-21T00:00:00.000Z,3.17,12.25,8.05,6.32,9.73,2.241,223
2020-09-22T00:00:00.000Z,0.9,21.7,2.5,1.55,10.87,5.596,321
2020-09-23T00:00:00.000Z,0.2,31.48,1.14,0.8,1.7,2.064,390
2020-09-24T00:00:00.000Z,0,24.23,0.6,0.28,1.1,1.563,379
2020-09-25T00:00:00.000Z,0.22,14.25,1.02,0.8,1.36,1.26,313
2020-09-26T00:00:00.000Z,0.5,52,1.67,1.1,5.07,6.271,259
2020-09-27T00:00:00.000Z,0.47,11.3,1.58,0.8,3.53,2.569,214
2020-09-28T00:00:00.000Z,1.83,10.15,3.7,3.1,4.55,1.5,214
2020-09-29T00:00:00.000Z,0.4,6.1,1.6,1.1,2.17,0.807,186
2020-09-30T00:00:00.000Z,0,7,1.4,0.35,2.45,1.185,351
2020-10-01T00:00:00.000Z,0.43,7.43,1.55,0.88,2.02,1.41,283
2020-10-02T00:00:00.000Z,0.4,26.95,1.21,0.9,1.9,2.906,238
2020-10-03T00:00:00.000Z,0.56,69.7,2.37,1.3,3.33,7.45,170
2020-10-04T00:00:00.000Z,0.5,93.05,1.23,0.92,11.06,21.183,208
2020-10-05T00:00:00.000Z,0.62,3.9,2.2,1.8,2.67,0.659,83
2020-10-06T00:00:00.000Z,0.28,15.65,1.2,0.9,1.99,1.176,297
2020-10-07T00:00:00.000Z,0.55,31.48,1.6,1.3,2.97,3.952,282
2020-10-08T00:00:00.000Z,0.1,9.63,2.17,0.65,3.67,1.851,278
2020-10-09T00:00:00.000Z,0.5,6.43,1.75,1.35,2.2,0.765,307
2020-10-10T00:00:00.000Z,0.25,9.63,1.7,1.02,2.58,1.275,385
2020-10-11T00:00:00.000Z,0.5,28.55,1.86,1.1,3.78,4.263,390
2020-10-12T00:00:00.000Z,0,14.48,2.1,1.74,2.5,1.189,316
2020-10-13T00:00:00.000Z,0.47,13.7,1.6,1.21,1.98,1.311,369
2020-10-14T00:00:00.000Z,1.45,36.4,3.72,2.25,5.5,6.918,351
2020-10-15T00:00:00.000Z,0.22,30.48,1.83,1.4,4.22,7.575,375
2020-10-16T00:00:00.000Z,0.68,120.95,4.4,2.12,13.32,12.639,383
2020-10-17T00:00:00.000Z,0.77,47.65,3.15,1.52,7.75,5.519,392
2020-10-18T00:00:00.000Z,1.42,36.79,5.15,4.88,6.74,4.559,121
2020-10-19T00:00:00.000Z,2.1,24.1,4.09,3.66,4.38,5.06,16
2020-10-20T00:00:00.000Z,0.7,2.7,2.6,0.7,2.7,0.92,3
2020-10-21T00:00:00.000Z,0.55,2.4,1.7,1.54,1.95,0.364,21
2020-10-22T00:00:00.000Z,0.8,22.85,2.37,1.38,4.28,3.985,74
2020-10-23T00:00:00.000Z,0.7,4.9,1.23,1.1,1.49,0.843,49
2020-10-24T00:00:00.000Z,2.29,195.9,6.2,3.18,14.64,42.448,37
2020-10-25T00:00:00.000Z,1.1,102.37,1.98,1.67,2.27,8.747,185
2020-10-26T00:00:00.000Z,1.05,15.2,2.88,2.33,3.8,1.364,397
2020-10-27T00:00:00.000Z,0,20.63,2.34,1.5,3.17,2.18,390
2020-10-28T00:00:00.000Z,1.1,16.5,2.75,1.95,3.58,1.615,374
2020-10-29T00:00:00.000Z,0,10.55,1.54,0.93,2.35,1.293,374
2020-10-30T00:00:00.000Z,0.47,25.9,1.9,1.39,2.62,4.153,253
2020-10-31T00:00:00.000Z,0,110.7,2.29,0.5,3.9,7.342,285
2020-11-01T00:00:00.000Z,0,418.75,1.98,0.6,5.62,27.311,377
2020-11-02T00:00:00.000Z,0.4,32.33,1.88,1.4,2.67,3.157,258
2020-11-03T00:00:00.000Z,2.02,42.5,3.87,3.28,4.4,4.662,114
2020-11-04T00:00:00.000Z,1.05,22.98,4.22,3.14,5.4,2.893,185
2020-11-05T00:00:00.000Z,0.9,45.17,2.9,1.87,11.85,9.756,329
2020-11-06T00:00:00.000Z,1.45,54.83,4.13,3.03,17.48,16.688,221
2020-11-07T00:00:00.000Z,7.05,70.93,32.03,16.02,38.58,14.445,155
